bare_action	qualified	source
toggle-midi-input-active	Editor/toggle-midi-input-active;Mixer/toggle-midi-input-active	keys
toggle-monitor-processor-box	Monitor/toggle-monitor-processor-box	keys
toggle-mute-overrides-solo	Solo/toggle-mute-overrides-solo	keys
toggle-opaque-region	Region/toggle-opaque-region	keys+menus
toggle-plugin-dsp-load		menus
toggle-plugin-manager		menus
toggle-region-fade-in		menus
toggle-region-fade-out		menus
toggle-region-fades		menus
toggle-region-gain-envelope-active		menus
toggle-region-lock		menus
toggle-region-mute	Region/toggle-region-mute	keys+menus
toggle-region-polarity		menus
toggle-region-video-lock		menus
toggle-rtawindow	Window/toggle-rtawindow	keys+menus
toggle-script-manager		menus
toggle-session-options-editor	Window/toggle-session-options-editor	keys+menus
toggle-stationary-playhead	EditorEditing/toggle-stationary-playhead	keys
toggle-track-active		menus
toggle-transport-masters		menus
toggle-triplet	StepEditing/toggle-triplet	keys
toggle-virtual-keyboard	Window/toggle-virtual-keyboard	keys+menus
toggle-zoom	Editor/toggle-zoom	keys+menus
track-height-large		menus
track-height-larger		menus
track-height-largest		menus
track-height-normal		menus
track-height-small		menus
track-mute-toggle		menus
track-record-enable-toggle	Editor/track-record-enable-toggle	keys+menus
track-solo-toggle	Editor/track-solo-toggle	keys+menus
tracker		menus
transform-region		menus
transpose-down-octave	Notes/transpose-down-octave	keys
transpose-down-octave-smush	Notes/transpose-down-octave-smush	keys
transpose-down-semitone	Notes/transpose-down-semitone	keys
transpose-down-semitone-smush	Notes/transpose-down-semitone-smush	keys
transpose-region		menus
transpose-up-octave	Notes/transpose-up-octave	keys
transpose-up-octave-smush	Notes/transpose-up-octave-smush	keys
transpose-up-semitone	Notes/transpose-up-semitone	keys
transpose-up-semitone-smush	Notes/transpose-up-semitone-smush	keys
trigger-cue-0	Cues/trigger-cue-0	keys+menus
trigger-cue-1	Cues/trigger-cue-1	keys+menus
trigger-cue-2	Cues/trigger-cue-2	keys+menus
trigger-cue-3	Cues/trigger-cue-3	keys+menus
trigger-cue-4	Cues/trigger-cue-4	keys+menus
trigger-cue-5	Cues/trigger-cue-5	keys+menus
trigger-cue-6	Cues/trigger-cue-6	keys+menus
trigger-cue-7	Cues/trigger-cue-7	keys+menus
trim-back	Region/trim-back	keys+menus
trim-front	Region/trim-front	keys+menus
trim-region-to-loop		menus
trim-region-to-punch		menus
trim-to-next-region	Region/trim-to-next-region	keys+menus
trim-to-previous-region	Region/trim-to-previous-region	keys+menus
tutorial		menus
uncombine-regions		menus
undo	Editing/undo	keys
undo-last-selection-op		menus
ungroup-selected-regions	Editor/ungroup-selected-regions	keys+menus
unity-gain	Mixer/unity-gain	keys
website		menus
website-dev		menus
zoom-to-extents		menus
zoom-to-selection	Editor/zoom-to-selection	keys+menus
zoom-to-selection-horiz		menus
zoom-to-session	Editor/zoom-to-session	keys+menus
